review_id,stars,date,title,text,version,vote_count,app_id,app_name
13168556234,5,2025-09-21,Excellent condition,"This beauty looked new, but apparently isn’t. Doesn’t wrinkle, fits like a gloves I’m normally small, but got XS and it is perfect. Wore it to dinner last night, slightly rolled the sleeve and got a ton of compliments. Bought it immediately.",1.57.1,0,1511548818,Nuuly
13154960956,5,2025-09-18,Love the variety,Love all the choices and the thrift shop pricing is amazing!,1.57.1,0,1511548818,Nuuly
13142064359,4,2025-09-15,Need an “alert me when back in stock” option,"Overall I love Nuuly, but sometimes it is super frustrating to have your eye on something that a lot of others are interested in. A few times I have stalked the website multiple times a day for a few weeks waiting for my size in something to be rentable again. Would be great just to get an alert about it!",1.57.1,0,1511548818,Nuuly
13126883147,5,2025-09-11,LOVE,"This is the perfect sweater.  Cropped enough to be modern looking, but with high waisted jeans I don’t have any of my stomach showing. Boxy without being overwhelming, but I did size down. So versatile, can go with jeans, work pants or skirts. Loved it so much I bought it!",1.57.1,0,1511548818,Nuuly
13109912430,1,2025-09-07,BED BUGS ALERT!!!!!,Quite a disgusting operation when they are known to do zero inspection of clothing and send customers clothing with bed bugs! Dirtyyyyyy dirtyyyy company,1.56.2,0,1511548818,Nuuly
13091328383,5,2025-09-02,Fits perfect and so flattering,I had to buy this from the moment I tried it in. Thick fabric so not see through. So easy to dress up or down. Sexy without being overt. Love it. And bought it immediately,1.56.2,0,1511548818,Nuuly
13059235371,5,2025-08-25,The best!!!!,I'm a fitness instructor and I'm always looking for great workout items. These were so perfect I HAD to purchase!,1.56.2,0,1511548818,Nuuly
13042025329,5,2025-08-20,Love Nuuly!,Such a fun experience! I look forward to wearing outfits that I probably wouldn’t have otherwise.,1.56.2,0,1511548818,Nuuly
13041184119,4,2025-08-20,Not compatible for iPad,"I love renting through nuuly and never had issues with the service itself, however it seems odd that the devs have not released a version of this app compatible for the iPad.",1.56.2,0,1511548818,Nuuly
13019628236,1,2025-08-15,If inconvenience is your thing- this is YOUR app!,Do you love waiting 30+ minutes at ups on the regular? Love ending up with low quality and ill fitting items? Then NUULY is for you! One of the 6 things ordered (all in my size) fit and was wearable. The other items were ill fitting or damaged. Much rather set $100 a month aside for one thing I really love.,1.56.0,0,1511548818,Nuuly
